model 1;model 2;mae;norm_mae;norm_rmse;norm_time;precision;recall;rmse;time;total
surprise_svd;surprise_SVDpp;0.794842705;0.80360562;1;0.643356258;0.868392049;0.860670415;1.064130068;91.61269407;0.875958155
surprise_SVDpp;surprise_KNNBaseline;0.795458751;0.767289761;0.852711458;0;0.867318078;0.861311824;1.069306664;229.4074438;0.729000549
surprise_BaselineOnly;surprise_SVDpp;0.80138855;0.417729009;0.995848117;0.70881909;0.86398977;0.874691488;1.06427599;77.59179277;0.706991616
surprise_SVDpp;surprise_CoClustering;0.791511155;1;0.320457251;0.650285116;0.878727866;0.81152128;1.088013246;90.1286636;0.659234274
surprise_svd;surprise_CoClustering;0.795877245;0.742619623;0.433366837;0.934537168;0.87459528;0.820012158;1.084044931;29.24724702;0.622647624
surprise_svd;surprise_KNNBaseline;0.801036219;0.438498858;0.816110607;0.284252052;0.861789394;0.874735737;1.070593036;168.5260273;0.592999465
surprise_svd;surprise_BaselineOnly;0.806996943;0.08711505;0.918378305;0.993071142;0.858391992;0.888460469;1.06699874;16.71037619;0.551779124
surprise_BaselineOnly;surprise_CoClustering;0.80254187;0.349740978;0.48360825;1;0.870344638;0.828395291;1.082279148;15.22634572;0.475007152
surprise_BaselineOnly;surprise_KNNBaseline;0.808474725;0;0.778876387;0.349714884;0.856002198;0.890745543;1.071901668;154.505126;0.385465863
surprise_CoClustering;surprise_KNNBaseline;0.799148439;0.549783232;0;0.29118091;0.871552449;0.819719343;1.099276022;167.0419968;0.276520546
