model;mae;norm_mae;rmse;norm_rmse;precision;recall;time;norm_time;total
surprise_BaselineOnly_explicit;0.709721603;1;0.91614407;1;0.944645229;0.496132783;1.540284491;0.981664396;0.746232831
surprise_svd_explicit;0.712868997;0.992763881;0.920174218;0.992242011;0.9303363;0.519589213;18.79095618;0.710839706;0.727775381
surprise_KNNBaseline_explicit;0.775200306;0.849459017;1.015565015;0.808615842;0.894594569;0.569908036;6.042401958;0.910983985;0.699498753
surprise_KNNWithMeans_explicit;0.79153984;0.81189307;1.031588253;0.777771296;0.895516223;0.553053716;4.764174247;0.931051356;0.680740512
surprise_KNNWithZScore_explicit;0.791747006;0.811416777;1.033506998;0.774077734;0.893679515;0.555391652;5.328160417;0.922197128;0.679546633
surprise_SVDpp_explicit;0.710516504;0.998172457;0.917492013;0.997405226;0.933874099;0.516533086;64.06918536;0;0.657228633
surprise_CoClustering_explicit;0.811195291;0.766703552;1.047458442;0.747221367;0.912552805;0.548901403;14.27238319;0.781778459;0.651517094
surprise_SlopeOne_explicit;0.885844275;0.59507933;1.151100456;0.547711701;0.85695505;0.577466857;5.477397013;0.919854207;0.59980353
surprise_KNNBasic_explicit;0.863979024;0.645349361;1.12935408;0.589573221;0.856612147;0.539051235;4.630370402;0.933151992;0.598670105
surprise_NMF_explicit;0.831223486;0.720657066;1.0690986;0.705564317;0.931419565;0.484699741;25.35242692;0.607828744;0.585358471
surprise_NormalPredictor_explicit;1.144677595;0;1.435627742;0;0.769626512;0.544874642;0.372364831;1;0.372437321
